"Tabela 1364 - Número de municípios, total e os com serviço de abastecimento de água, por tipo de tratamento da água"
"Variável - Municípios com serviço de abastecimento de água por rede geral de distribuição (Unidades)"
"Brasil, Unidade da Federação e Município";"Ano x Existência e tipo de tratamento da água"
"Brasil, Unidade da Federação e Município";"2000";;;;;;;;"2008";;;;;;;;"2017"
"Brasil, Unidade da Federação e Município";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento"
"Canapi (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"Capela (AL)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Carneiros (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Chã Preta (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Coité do Nóia (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Colônia Leopoldina (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Coqueiro Seco (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Coruripe (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Craíbas (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Delmiro Gouveia (AL)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"Dois Riachos (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Estrela de Alagoas (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Feira Grande (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Feliz Deserto (AL)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Flexeiras (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Girau do Ponciano (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Ibateguara (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Igaci (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Igreja Nova (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Inhapi (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"Jacaré dos Homens (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Jacuípe (AL)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Japaratinga (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Jaramataia (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Jequiá da Praia (AL)";"...";"...";"...";"...";"...";"...";"...";"...";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Joaquim Gomes (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Jundiá (AL)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Junqueiro (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Lagoa da Canoa (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Limoeiro de Anadia (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Maceió (AL)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"Major Isidoro (AL)";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Maragogi (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Maravilha (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Marechal Deodoro (AL)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Maribondo (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Mar Vermelho (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Mata Grande (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Matriz de Camaragibe (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Messias (AL)";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Minador do Negrão (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Monteirópolis (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Murici (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Novo Lino (AL)";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Olho d'Água das Flores (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Olho d'Água do Casado (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Olho d'Água Grande (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Olivença (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Ouro Branco (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Palestina (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Palmeira dos Índios (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Pão de Açúcar (AL)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Pariconha (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Paripueira (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Passo de Camaragibe (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Paulo Jacinto (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Penedo (AL)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Piaçabuçu (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Pilar (AL)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Pindoba (AL)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Piranhas (AL)";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Poço das Trincheiras (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Porto Calvo (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Porto de Pedras (AL)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Porto Real do Colégio (AL)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Quebrangulo (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Rio Largo (AL)";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Roteiro (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Santa Luzia do Norte (AL)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Santana do Ipanema (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Santana do Mundaú (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"São Brás (AL)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"São José da Laje (AL)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"São José da Tapera (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"São Luís do Quitunde (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-"
"São Miguel dos Campos (AL)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"São Miguel dos Milagres (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"São Sebastião (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Satuba (AL)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Senador Rui Palmeira (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Tanque d'Arca (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Taquarana (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Teotônio Vilela (AL)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Traipu (AL)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"União dos Palmares (AL)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Viçosa (AL)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Amparo do São Francisco (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Aquidabã (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Aracaju (SE)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Arauá (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Areia Branca (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Barra dos Coqueiros (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Boquim (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Brejo Grande (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Campo do Brito (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Canhoba (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Canindé de São Francisco (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Capela (SE)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Carira (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Carmópolis (SE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Cedro de São João (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Cristinápolis (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Cumbe (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Divina Pastora (SE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Estância (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Feira Nova (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Frei Paulo (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Gararu (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"General Maynard (SE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Graccho Cardoso (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Ilha das Flores (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Indiaroba (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Itabaiana (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Itabaianinha (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Itabi (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Itaporanga d'Ajuda (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Japaratuba (SE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Japoatã (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Lagarto (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Laranjeiras (SE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Macambira (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Malhada dos Bois (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Malhador (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Maruim (SE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Moita Bonita (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Monte Alegre de Sergipe (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Muribeca (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Neópolis (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Nossa Senhora Aparecida (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Nossa Senhora da Glória (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Nossa Senhora das Dores (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Nossa Senhora de Lourdes (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Nossa Senhora do Socorro (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Pacatuba (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Pedra Mole (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Pedrinhas (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Pinhão (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Pirambu (SE)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Poço Redondo (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Poço Verde (SE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Porto da Folha (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Propriá (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Riachão do Dantas (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Riachuelo (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Ribeirópolis (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Rosário do Catete (SE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Salgado (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Santa Luzia do Itanhy (SE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Santana do São Francisco (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Santa Rosa de Lima (SE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Santo Amaro das Brotas (SE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"São Cristóvão (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"São Domingos (SE)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"São Francisco (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"São Miguel do Aleixo (SE)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Simão Dias (SE)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Siriri (SE)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"1";"-"
